S.No,Cement,Coarse Aggregate,Fine Aggregate,Water,Superplasticizer,Strength
1,360,845,900,160,1.5,48
2,320,950,782,160,1.5,46.1
3,356,845,951,160,1,46
4,463,845,750,180,0.75,52.7
5,300,720,787,168,4.8,52.7
6,486,950,714,170,1,56.1
7,360,950,797,160,1.5,48.7
8,500,769.18,740.16,154,10.5,86.99
9,510,950,628,170,2,61.7
10,400,950,811,160,1,49.4
11,284,898,874,160,1.5,43.8
12,356,898,899,160,0.5,44.5
13,330.85,739.44,857.57,180.05,6.02,57.3
14,350,500,1050,178.5,3.8,49.5
15,425,845,868,170,0,47.7
16,193,900,1024,136.89,2.808,44
17,340,845,838,170,1,45
18,331.33,739.44,875.16,180.05,6.02,57.3
19,302,845,880,170,0.5,41.5
20,411,898,680,180,0.25,47.3
21,486,898,766,170,1.5,57.8
22,360,898,738,180,0,43.2
23,160,900,886,156,3.2,44
24,160,900,886,156,3.2,44
25,330.85,768.88,840,180.05,6.08,58.45
26,340,898,786,170,1,45.1
27,360,898,848,160,1.5,48
28,567,898,700,170,1,63.9
29,284,845,926,160,1.5,43.7
30,567,845,751,170,1.5,64.6
31,383,950,749,170,0,45
32,320,950,835,160,0.5,42.6
33,480,898,604,180,1.75,57
34,340,950,734,170,0.5,43.3
35,320,687,1016,174,5.21,53.6
36,220,900,916,156,3.2,47
37,220,900,916,156,3.2,47
38,350,883,815,183.54,3.864,55.3
39,320,845,938,160,1.5,45
40,425,845,853,170,0,47.1
41,427,844,779,194.57,8,4.336
42,540,845,677,180,1.25,61.1
43,411,845,732,180,1.25,51
44,279.5,630,1135,200,2.1,44.344
45,320,898,886,160,0.5,42.6
46,302,950,776,170,0.5,41
47,237,900,960,159.1,2.96,46
48,237,900,960,159.1,2.96,46
49,400,845,914,160,1,49.6
50,365.5,630,1135,200,3.11,50.982
51,180,829,788,198,3,42.5
52,198,900,874,146.2,3.44,46
53,400,989,863,160,1,49.1
54,340,950,790,170,0,41.3
55,302,898,828,170,0.5,40.8
56,540,950,573,180,0.75,60
57,350,621,939,173.5,6.75,57.3
58,383,898,801,170,0.5,45.7
59,540,898,625,180,0.75,59.9
60,514,898,717,180,0.25,54.6
61,340,845,893,170,0,41.1
62,320,845,834,180,0,40.3
63,360,750,900,200,12,70.67
64,284,950,822,160,1,42.9
65,356,950,847,160,0.5,43.6
66,463,898,698,180,0.25,50.3
67,540,898,625,180,1.25,59.9
68,248,900,808,175.89,3.608,50
69,248,900,808,175.89,3.608,50
70,350,500,1050,143.5,8.9,60.1
71,387,630,1135,200,3.29,51.039
72,360,950,686,180,0,42.4
73,378,845,907,170,0.5,44.9
74,540,845,677,180,1.75,61.1
75,552,1486,342,160,5.52,91.3
76,514,845,769,180,0.25,54.2
77,340,898,842,170,0,40.8
78,383,898,801,170,0,45.7
79,320,898,782,180,0,40
80,540,950,573,180,1.25,60
81,284,950,822,160,1.5,42.9
82,458,698,748,190,8.4,68.2
