S.No, Cement (kg/m3), Fly Ash (kg/m3), Water (kg/m3), Superplasticizer (kg/m3), Coarse Aggregate (kg/m3), Fine Aggregate (kg/m3), Age (Day), Compressive Strength (MPa)
1, 540, 0, 162, 2.5, 1040, 676, 28, 79.99
2, 540, 0, 162, 2.5, 1055, 676, 28, 61.89
3, 475, 0, 228, 0, 932, 594, 28, 39.29
4, 380, 0, 228, 0, 932, 670, 90, 52.91
5, 475, 0, 228, 0, 932, 594, 180, 42.62
6, 380, 0, 228, 0, 932, 670, 365, 52.52
7, 380, 0, 228, 0, 932, 670, 270, 53.3
8, 475, 0, 228, 0, 932, 594, 7, 38.6
9, 475, 0, 228, 0, 932, 594, 270, 42.13
10, 475, 0, 228, 0, 932, 594, 90, 42.23
11, 380, 0, 228, 0, 932, 670, 180, 53.1
12, 349, 0, 192, 0, 1047, 806.9, 3, 15.05
13, 475, 0, 228, 0, 932, 594, 365, 41.93
14, 310, 0, 192, 0, 971, 850.6, 3, 9.87
15, 485, 0, 146, 0, 1120, 800, 28, 71.99
16, 531.3, 0, 141.8, 28.2, 852.1, 893.7, 3, 41.3
17, 531.3, 0, 141.8, 28.2, 852.1, 893.7, 7, 46.9
18, 531.3, 0, 141.8, 28.2, 852.1, 893.7, 28, 56.4
19, 531.3, 0, 141.8, 28.2, 852.1, 893.7, 56, 58.8
20, 531.3, 0, 141.8, 28.2, 852.1, 893.7, 91, 59.2
21, 222.4, 96.7, 189.3, 4.5, 967.1, 870.3, 3, 11.58
22, 222.4, 96.7, 189.3, 4.5, 967.1, 870.3, 14, 24.45
23, 222.4, 96.7, 189.3, 4.5, 967.1, 870.3, 28, 24.89
24, 222.4, 96.7, 189.3, 4.5, 967.1, 870.3, 56, 29.45
25, 222.4, 96.7, 189.3, 4.5, 967.1, 870.3, 100, 40.71
26, 233.8, 94.6, 197.9, 4.6, 947, 852.2, 3, 10.38
27, 233.8, 94.6, 197.9, 4.6, 947, 852.2, 14, 22.14
28, 233.8, 94.6, 197.9, 4.6, 947, 852.2, 28, 22.84
29, 233.8, 94.6, 197.9, 4.6, 947, 852.2, 56, 27.66
30, 233.8, 94.6, 197.9, 4.6, 947, 852.2, 100, 34.56
31, 194.7, 100.5, 165.6, 7.5, 1006.4, 905.9, 3, 12.45
32, 194.7, 100.5, 165.6, 7.5, 1006.4, 905.9, 14, 24.99
33, 194.7, 100.5, 165.6, 7.5, 1006.4, 905.9, 28, 25.72
34, 194.7, 100.5, 165.6, 7.5, 1006.4, 905.9, 56, 33.96
35, 194.7, 100.5, 165.6, 7.5, 1006.4, 905.9, 100, 37.34
36, 190.7, 125.4, 162.1, 7.8, 1090, 804, 3, 15.04
37, 190.7, 125.4, 162.1, 7.8, 1090, 804, 14, 21.06
38, 190.7, 125.4, 162.1, 7.8, 1090, 804, 28, 26.4
39, 190.7, 125.4, 162.1, 7.8, 1090, 804, 56, 35.34
40, 190.7, 125.4, 162.1, 7.8, 1090, 804, 100, 40.57
41, 212.1, 121.6, 180.3, 5.7, 1057.6, 779.3, 3, 12.47
42, 212.1, 121.6, 180.3, 5.7, 1057.6, 779.3, 14, 20.92
43, 212.1, 121.6, 180.3, 5.7, 1057.6, 779.3, 28, 24.9
44, 212.1, 121.6, 180.3, 5.7, 1057.6, 779.3, 56, 34.2
45, 212.1, 121.6, 180.3, 5.7, 1057.6, 779.3, 100, 39.61
46, 230, 118.3, 195.5, 4.6, 1029.4, 758.6, 3, 10.03
47, 230, 118.3, 195.5, 4.6, 1029.4, 758.6, 14, 20.08
48, 230, 118.3, 195.5, 4.6, 1029.4, 758.6, 28, 24.48
49, 230, 118.3, 195.5, 4.6, 1029.4, 758.6, 56, 31.54
50, 230, 118.3, 195.5, 4.6, 1029.4, 758.6, 100, 35.34
51, 190.3, 125.2, 161.9, 9.9, 1088.1, 802.6, 3, 9.45
52, 190.3, 125.2, 161.9, 9.9, 1088.1, 802.6, 14, 22.72
53, 190.3, 125.2, 161.9, 9.9, 1088.1, 802.6, 28, 28.47
54, 190.3, 125.2, 161.9, 9.9, 1088.1, 802.6, 56, 38.56
55, 190.3, 125.2, 161.9, 9.9, 1088.1, 802.6, 100, 40.39
56, 166.1, 163.3, 176.5, 4.5, 1058.6, 780.1, 3, 10.76
57, 166.1, 163.3, 176.5, 4.5, 1058.6, 780.1, 14, 25.48
58, 166.1, 163.3, 176.5, 4.5, 1058.6, 780.1, 28, 21.54
59, 166.1, 163.3, 176.5, 4.5, 1058.6, 780.1, 56, 28.63
60, 166.1, 163.3, 176.5, 4.5, 1058.6, 780.1, 100, 33.54
61, 229.7, 118.2, 195.2, 6.1, 1028.1, 757.6, 3, 13.36
62, 229.7, 118.2, 195.2, 6.1, 1028.1, 757.6, 14, 22.32
63, 229.7, 118.2, 195.2, 6.1, 1028.1, 757.6, 28, 24.54
64, 229.7, 118.2, 195.2, 6.1, 1028.1, 757.6, 56, 31.35
65, 229.7, 118.2, 195.2, 6.1, 1028.1, 757.6, 100, 40.86
66, 238.1, 94.1, 186.7, 7, 949.9, 847, 3, 19.93
67, 238.1, 94.1, 186.7, 7, 949.9, 847, 14, 25.69
68, 238.1, 94.1, 186.7, 7, 949.9, 847, 28, 30.23
69, 238.1, 94.1, 186.7, 7, 949.9, 847, 56, 39.59
70, 238.1, 94.1, 186.7, 7, 949.9, 847, 100, 44.3
71, 250, 95.7, 187.4, 5.5, 956.9, 861.2, 3, 13.82
72, 250, 95.7, 187.4, 5.5, 956.9, 861.2, 14, 24.92
73, 250, 95.7, 187.4, 5.5, 956.9, 861.2, 28, 29.22
74, 250, 95.7, 187.4, 5.5, 956.9, 861.2, 56, 38.33
75, 250, 95.7, 187.4, 5.5, 956.9, 861.2, 100, 42.35
76, 212.5, 100.4, 159.3, 8.7, 1007.8, 903.6, 3, 13.54
77, 212.5, 100.4, 159.3, 8.7, 1007.8, 903.6, 14, 26.31
78, 212.5, 100.4, 159.3, 8.7, 1007.8, 903.6, 28, 31.64
79, 212.5, 100.4, 159.3, 8.7, 1007.8, 903.6, 56, 42.55
80, 212.5, 100.4, 159.3, 8.7, 1007.8, 903.6, 100, 42.92
81, 212.6, 100.4, 159.4, 10.4, 1003.8, 903.8, 3, 13.33
82, 212.6, 100.4, 159.4, 10.4, 1003.8, 903.8, 14, 25.37
83, 212.6, 100.4, 159.4, 10.4, 1003.8, 903.8, 28, 37.4
84, 212.6, 100.4, 159.4, 10.4, 1003.8, 903.8, 56, 44.4
85, 212.6, 100.4, 159.4, 10.4, 1003.8, 903.8, 100, 47.74
86, 212, 124.8, 159, 7.8, 1085.4, 799.5, 3, 19.52
87, 212, 124.8, 159, 7.8, 1085.4, 799.5, 14, 31.35
88, 212, 124.8, 159, 7.8, 1085.4, 799.5, 28, 38.5
89, 212, 124.8, 159, 7.8, 1085.4, 799.5, 56, 45.08
90, 212, 124.8, 159, 7.8, 1085.4, 799.5, 100, 47.82
91, 231.8, 121.6, 174, 6.7, 1056.4, 778.5, 3, 15.44
92, 231.8, 121.6, 174, 6.7, 1056.4, 778.5, 14, 26.77
93, 231.8, 121.6, 174, 6.7, 1056.4, 778.5, 28, 33.73
94, 231.8, 121.6, 174, 6.7, 1056.4, 778.5, 56, 42.7
95, 231.8, 121.6, 174, 6.7, 1056.4, 778.5, 100, 45.84
96, 251.4, 118.3, 188.5, 5.8, 1028.4, 757.7, 3, 17.22
97, 251.4, 118.3, 188.5, 5.8, 1028.4, 757.7, 14, 29.93
98, 251.4, 118.3, 188.5, 5.8, 1028.4, 757.7, 28, 29.65
99, 251.4, 118.3, 188.5, 5.8, 1028.4, 757.7, 56, 36.97
100, 251.4, 118.3, 188.5, 5.8, 1028.4, 757.7, 100, 43.58
101, 251.4, 118.3, 188.5, 6.4, 1028.4, 757.7, 3, 13.12
102, 251.4, 118.3, 188.5, 6.4, 1028.4, 757.7, 14, 24.43
103, 251.4, 118.3, 188.5, 6.4, 1028.4, 757.7, 28, 32.66
104, 251.4, 118.3, 188.5, 6.4, 1028.4, 757.7, 56, 36.64
105, 251.4, 118.3, 188.5, 6.4, 1028.4, 757.7, 100, 44.21
106, 181.4, 167, 169.6, 7.6, 1055.6, 777.8, 3, 13.62
107, 181.4, 167, 169.6, 7.6, 1055.6, 777.8, 14, 21.6
108, 181.4, 167, 169.6, 7.6, 1055.6, 777.8, 28, 27.77
109, 181.4, 167, 169.6, 7.6, 1055.6, 777.8, 56, 35.57
110, 181.4, 167, 169.6, 7.6, 1055.6, 777.8, 100, 45.37
111, 290.4, 96.2, 168.1, 9.4, 961.2, 865, 3, 22.5
112, 290.4, 96.2, 168.1, 9.4, 961.2, 865, 14, 34.67
113, 290.4, 96.2, 168.1, 9.4, 961.2, 865, 28, 34.74
114, 290.4, 96.2, 168.1, 9.4, 961.2, 865, 56, 45.08
115, 290.4, 96.2, 168.1, 9.4, 961.2, 865, 100, 48.97
116, 277.1, 97.4, 160.6, 11.8, 973.9, 875.6, 3, 23.14
117, 277.1, 97.4, 160.6, 11.8, 973.9, 875.6, 14, 41.89
118, 277.1, 97.4, 160.6, 11.8, 973.9, 875.6, 28, 48.28
119, 277.1, 97.4, 160.6, 11.8, 973.9, 875.6, 56, 51.04
120, 277.1, 97.4, 160.6, 11.8, 973.9, 875.6, 100, 55.64
121, 295.7, 95.6, 171.5, 8.9, 955.1, 859.2, 3, 22.95
122, 295.7, 95.6, 171.5, 8.9, 955.1, 859.2, 14, 35.23
123, 295.7, 95.6, 171.5, 8.9, 955.1, 859.2, 28, 39.94
124, 295.7, 95.6, 171.5, 8.9, 955.1, 859.2, 56, 48.72
125, 295.7, 95.6, 171.5, 8.9, 955.1, 859.2, 100, 52.04
126, 251.8, 99.9, 146.1, 12.4, 1006, 899.8, 3, 21.02
127, 251.8, 99.9, 146.1, 12.4, 1006, 899.8, 14, 33.36
128, 251.8, 99.9, 146.1, 12.4, 1006, 899.8, 28, 33.94
129, 251.8, 99.9, 146.1, 12.4, 1006, 899.8, 56, 44.14
130, 251.8, 99.9, 146.1, 12.4, 1006, 899.8, 100, 45.37
131, 249.1, 98.8, 158.1, 12.8, 987.8, 889, 3, 15.36
132, 249.1, 98.8, 158.1, 12.8, 987.8, 889, 14, 28.68
133, 249.1, 98.8, 158.1, 12.8, 987.8, 889, 28, 30.85
134, 249.1, 98.8, 158.1, 12.8, 987.8, 889, 56, 42.03
135, 249.1, 98.8, 158.1, 12.8, 987.8, 889, 100, 51.06
136, 252.3, 98.8, 146.3, 14.2, 987.8, 889, 3, 21.78
137, 252.3, 98.8, 146.3, 14.2, 987.8, 889, 14, 42.29
138, 252.3, 98.8, 146.3, 14.2, 987.8, 889, 28, 50.6
139, 252.3, 98.8, 146.3, 14.2, 987.8, 889, 56, 55.83
140, 252.3, 98.8, 146.3, 14.2, 987.8, 889, 100, 60.95
