W/c ratio ,Cement Content ,Fine Aggregate ,Coarse Aggregate ,Water content ,SiO2 ,CaO ,Fe2O3 ,Al2O3 ,Specific Gravity ,Curing Days ,Replacement Percentage ,Compressive Strength
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,1 ,50 ,7.7
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,1 ,0 ,21.4
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,1 ,0 ,30.5
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,50 ,15.9
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,50 ,20.9
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,- ,30.5
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 ,0 ,32.5
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,7 , ,
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,50 ,19.6
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,50 ,27.1
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,- ,37.5
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,0 ,34.4
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,14 ,0 ,41
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,50 ,24
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,50 ,30.5
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,- ,43.8
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,- ,43.3
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,38.6
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,38.8
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,46.3
0.42 ,384 ,720 ,1081 ,162 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,28 ,0 ,42.1
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,50 ,32.7
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,50 ,41.6
0.32 ,391 ,740 ,1111 ,125 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,- ,53.7
0.4 ,385 ,729 ,1094 ,154 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,- ,43.4
0.42 ,389 ,729 ,1093 ,164 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,91 ,0 ,50.4
0.32 ,168 ,701 ,1052 ,120 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,365 ,50 ,40.3
0.32 ,170 ,710 ,1066 ,122 ,62.6 ,5.8 ,4.5 ,20.9 ,2.01 ,365 ,50 ,61.9
0.5 ,336 ,739 ,1105 ,167 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,0 ,16.7
0.45 ,247 ,845 ,846 ,186 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,40 ,8.7
0.4 ,238 ,844 ,844 ,189 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,40 ,10.7
0.35 ,232 ,846 ,847 ,136 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,40 ,16.6
0.45 ,207 ,845 ,843 ,188 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,50 ,6.1
0.4 ,200 ,842 ,843 ,161 ,52.4 ,13.4 ,4.7 ,23.4 ,2.08 ,1 ,50 ,7
