,L,b,h,P,fc,E,I,deflexion_max_mm
0,5.95,0.45,0.4,41.51,210,21541000,0.0024000000000000007,3.5235893669057767
1,3.8000000000000003,0.5,0.4,15.04,210,21541000,0.0026666666666666674,0.2993110811940021
2,4.05,0.45,0.7000000000000001,82.55,175,19663000,0.012862500000000004,0.4517162799216357
3,5.15,0.30000000000000004,0.9,49.47,280,24870000,0.018225000000000005,0.3105839706321982
4,5.0,0.55,0.9500000000000001,91.82,175,19663000,0.03929635416666668,0.3094596468081845
5,9.950000000000001,0.35000000000000003,0.5,68.86,420,30463000,0.003645833333333334,12.724055109946024
6,5.25,0.4,0.9500000000000001,57.67,175,19663000,0.028579166666666673,0.3093764728928545
7,8.200000000000001,0.30000000000000004,0.65,21.52,420,30463000,0.006865625000000001,1.1819247789462894
8,8.1,0.4,0.5,70.18,210,21541000,0.004166666666666667,8.657102590408988
9,4.5,0.30000000000000004,0.55,53.53,420,30463000,0.004159375000000002,0.8020340375225299
10,4.75,0.30000000000000004,0.45,38.66,280,24870000,0.0022781250000000006,1.523519811019128
11,4.800000000000001,0.4,0.55,19.07,280,24870000,0.005545833333333336,0.31855950567292524
12,3.1500000000000004,0.55,0.7000000000000001,84.24,280,24870000,0.01572083333333334,0.14029992323719703
13,9.8,0.35000000000000003,0.35000000000000003,79.01,175,19663000,0.0012505208333333337,63.00548237807048
14,9.25,0.6000000000000001,0.8,67.98,350,27805000,0.02560000000000001,1.5747160586580224
15,6.5,0.30000000000000004,1.0,76.89,210,21541000,0.025000000000000005,0.8168885787567892
16,4.5,0.45,0.9,23.32,350,27805000,0.027337500000000004,0.05824292193650221
17,9.1,0.25,0.6000000000000001,87.08,210,21541000,0.004500000000000002,14.103372784371569
18,7.4,0.55,0.9,99.99,280,24870000,0.033412500000000005,1.0158409904342085
19,5.15,0.30000000000000004,0.8500000000000001,97.96,350,27805000,0.015353125000000007,0.652994526507926
20,6.050000000000001,0.5,0.9,62.78,350,27805000,0.030375000000000003,0.34293121006845406
21,6.2,0.25,0.55,50.62,175,19663000,0.0034661458333333345,3.6877320827391573
22,9.4,0.45,0.55,76.72,175,19663000,0.006239062500000002,10.821358927904296
23,6.550000000000001,0.30000000000000004,0.35000000000000003,81.19,175,19663000,0.0010718750000000003,22.552323004382842
24,7.3500000000000005,0.35000000000000003,0.9,36.45,420,30463000,0.021262500000000004,0.46551246594229073
25,2.4000000000000004,0.30000000000000004,0.5,86.32,420,30463000,0.0031250000000000006,0.2611447066933658
26,4.6000000000000005,0.55,0.5,37.09,280,24870000,0.005729166666666667,0.5278637628394927
27,2.45,0.45,0.35000000000000003,65.69,420,30463000,0.0016078125000000005,0.4109114153052701
28,3.45,0.45,0.65,87.27,210,21541000,0.0102984375,0.3365455290698305
29,9.4,0.5,0.65,73.72,210,21541000,0.011442708333333334,5.175269388052046
30,9.5,0.5,0.8,73.18,420,30463000,0.02133333333333334,2.0113636349064845
31,7.7,0.6000000000000001,0.9500000000000001,81.04,350,27805000,0.04286875000000002,0.6466460824944986
32,7.8500000000000005,0.4,0.65,12.7,280,24870000,0.009154166666666666,0.5621818927242783
33,5.7,0.55,0.75,34.19,420,30463000,0.0193359375,0.2239466273541972
34,9.450000000000001,0.25,0.75,66.3,420,30463000,0.0087890625,4.3536397859698654
35,5.25,0.6000000000000001,0.65,65.91,175,19663000,0.013731250000000002,0.7359158063367746
36,7.45,0.25,1.0,75.53,280,24870000,0.020833333333333332,1.255776980146763
37,7.2,0.35000000000000003,0.55,65.24,175,19663000,0.004852604166666669,5.3167416574081665
38,6.800000000000001,0.35000000000000003,0.35000000000000003,77.83,175,19663000,0.0012505208333333337,20.73441661932763
39,3.8000000000000003,0.4,0.8,65.7,420,30463000,0.01706666666666667,0.14446197410588255
40,7.45,0.30000000000000004,0.5,99.13,420,30463000,0.0031250000000000006,8.970362526398143
41,9.0,0.45,0.35000000000000003,32.68,210,21541000,0.0016078125000000005,14.330689201675613
42,8.35,0.30000000000000004,0.8500000000000001,97.01,210,21541000,0.015353125000000007,3.5577223093963757
43,5.45,0.45,0.6000000000000001,97.57,350,27805000,0.008100000000000005,1.4610216655501675
44,9.35,0.6000000000000001,0.7000000000000001,92.34,280,24870000,0.017150000000000006,3.6867488699986266
45,8.25,0.55,0.45,71.06,420,30463000,0.004176562500000001,6.533624275228844
46,7.800000000000001,0.35000000000000003,0.55,47.4,280,24870000,0.004852604166666669,3.8830256585074188
47,3.0,0.30000000000000004,0.30000000000000004,93.82,350,27805000,0.0006750000000000004,2.811844392495353
48,9.35,0.5,0.9,43.89,280,24870000,0.030375000000000003,0.9893890606669081
49,5.1000000000000005,0.55,0.55,53.23,210,21541000,0.007625520833333337,0.8955511263347198
50,4.3500000000000005,0.35000000000000003,0.35000000000000003,75.2,280,24870000,0.0012505208333333337,4.146461692429121
51,6.95,0.30000000000000004,0.8,92.57,175,19663000,0.012800000000000006,2.5723122814202837
52,5.75,0.30000000000000004,0.9,91.99,175,19663000,0.018225000000000005,1.016683087984644
53,4.05,0.6000000000000001,0.6000000000000001,77.8,420,30463000,0.010800000000000006,0.3272706079916618
54,8.700000000000001,0.5,0.6000000000000001,61.53,175,19663000,0.009000000000000005,4.769920567817728
55,3.45,0.45,0.7000000000000001,11.04,175,19663000,0.012862500000000004,0.037343064455314025
56,3.8000000000000003,0.25,0.55,21.07,350,27805000,0.0034661458333333345,0.2499219251384582
57,7.300000000000001,0.4,0.55,11.35,280,24870000,0.005545833333333336,0.6669305406898742
58,5.8500000000000005,0.5,0.4,53.87,280,24870000,0.0026666666666666674,3.3878862393037545
